1218;"UIK";"GN";2133;1523;0;1118;42;363;42;1116;20;1138;50;37;36;13;4;0;2;0;189;150;22;302;241;229;5
1235;"UIK";"GN";2256;2200;0;1059;23;990;23;958;17;964;60;40;20;20;2;0;128;0;198;136;18;225;137;242;8
1260;"UIK";"GN";2215;2200;0;1177;29;994;29;1171;15;1185;60;43;21;17;3;0;0;0;197;159;23;290;125;383;8
1409;"UIK";"GN";2639;2600;0;1061;17;1522;17;1059;23;1053;60;44;13;16;1;0;0;0;157;204;26;246;96;316;8
1434;"UIK";"GN";2391;2400;0;1527;13;860;13;1516;15;1514;60;44;46;16;1;0;0;0;212;170;22;305;153;639;13
1474;"UIK";"GN";1020;1000;0;514;22;464;22;513;4;531;25;20;25;5;1;0;0;0;94;97;9;106;46;173;6
1493;"UIK";"GN";2910;2500;0;1444;21;1035;21;1444;28;1437;65;55;89;10;2;0;0;0;215;186;26;355;248;398;9
1592;"UIK";"GN";2309;2000;0;1323;20;657;19;1323;27;1315;50;50;44;0;12;0;0;0;151;201;15;209;92;630;17
1632;"UIK";"GN";2228;2100;0;862;27;1211;27;861;13;875;50;42;32;8;11;0;0;0;128;163;11;188;85;287;13
1654;"UIK";"GN";2259;1900;0;1281;38;581;38;1273;17;1294;55;36;32;19;6;0;0;0;152;64;18;250;151;535;24
1707;"UIK";"GN";1760;1300;0;904;25;371;25;901;23;903;40;28;126;12;1;0;0;0;136;97;11;219;235;192;13
1724;"UIK";"GN";2702;1900;0;1693;39;168;39;1693;33;1699;77;32;37;45;13;0;0;0;241;167;18;326;176;755;16
1775;"UIK";"GN";1670;1340;0;940;25;375;25;940;15;950;50;50;61;0;17;0;0;0;91;82;16;187;69;493;12
1798;"UIK";"GN";1697;1500;0;860;22;618;22;860;12;870;40;40;47;0;0;0;0;0;153;80;13;224;130;263;7
1830;"UIK";"GN";1994;1900;0;1276;54;570;54;1276;30;1300;70;70;69;0;5;0;0;0;153;104;11;251;101;667;13
1851;"UIK";"GN";2567;1820;0;1603;19;198;19;1603;32;1590;50;38;23;12;15;0;0;0;233;192;22;368;174;585;16
1907;"UIK";"GN";2773;2300;0;1806;123;371;123;1799;37;1885;60;35;28;25;22;0;0;0;312;174;19;271;114;974;21
1943;"UIK";"GN";2554;2200;0;1712;29;459;29;1640;28;1641;70;49;48;21;13;0;0;0;205;141;17;258;131;879;10
1951;"UIK";"GN";365;300;0;255;2;43;2;255;6;251;10;0;156;10;0;0;0;0;41;31;1;37;23;116;2
1976;"UIK";"GN";2732;2500;0;1747;46;707;46;1742;32;1756;70;57;16;13;3;0;0;0;271;135;33;473;235;595;14
2005;"UIK";"GN";2535;2200;0;1099;33;1068;33;1093;26;1100;50;44;34;6;6;0;0;0;229;142;18;304;142;257;8
2050;"UIK";"GN";862;750;0;490;6;254;6;489;6;489;25;6;37;19;1;0;0;0;94;84;10;120;85;89;7
2075;"UIK";"GN";2015;1800;0;1094;27;679;27;1094;31;1090;45;29;40;16;1;0;0;0;173;105;15;191;166;438;2
2099;"UIK";"GN";2346;2100;0;1200;26;874;26;1174;22;1178;50;38;26;12;1;0;0;0;212;153;23;230;147;404;9
2154;"UIK";"GN";2483;2200;0;1262;17;921;17;1258;28;1247;40;40;40;0;2;0;0;0;231;147;23;330;230;271;15
2172;"UIK";"GN";2404;1850;0;1582;38;230;38;1511;38;1511;50;41;100;9;5;0;0;0;121;30;8;241;11;1093;7
2210;"UIK";"GN";2508;1900;0;1141;57;702;57;1140;16;1181;60;58;44;2;2;0;0;0;218;128;12;272;242;293;16
2229;"UIK";"GN";2405;2200;0;1109;52;1039;52;1103;31;1124;70;63;22;7;3;0;0;0;194;187;30;268;131;305;9
2254;"UIK";"GN";2465;2400;0;1335;34;1031;34;1330;35;1329;50;38;42;12;1;0;0;0;274;101;24;372;298;243;17
2279;"UIK";"GN";2491;2500;0;1330;15;1155;15;1330;38;1307;60;42;27;18;2;0;0;0;228;143;31;394;249;256;6
2288;"UIK";"GN";2427;2000;0;954;29;1017;29;954;27;956;60;52;17;8;2;0;0;0;155;123;22;254;146;247;9
2313;"UIK";"GN";2157;1700;0;1469;38;193;38;1469;26;1481;50;33;48;17;1;0;0;0;183;109;22;293;176;679;19
2315;"UIK";"GN";2393;2000;0;997;9;994;9;994;24;979;80;47;44;33;4;0;0;0;144;198;25;244;66;300;2
2370;"UIK";"GN";2200;2100;0;1196;49;855;49;1175;14;1210;30;27;77;3;3;0;0;0;208;147;25;320;134;365;11
2395;"UIK";"GN";2832;2800;0;1406;36;1358;36;1354;33;1357;70;58;21;12;4;0;0;0;236;172;22;331;139;436;21
2431;"UIK";"GN";1359;1100;0;831;45;224;45;775;11;813;30;18;28;12;0;0;0;0;141;74;18;161;149;268;2
2451;"UIK";"GN";2811;2500;0;1381;26;1093;26;1381;31;1376;50;35;19;15;0;0;0;0;80;76;24;180;138;868;10
2473;"UIK";"GN";2823;2500;0;1534;5;961;5;1529;33;1501;60;56;15;4;9;0;0;0;240;150;37;565;228;261;20
2498;"UIK";"GN";2661;2400;0;1086;29;1285;29;1057;27;1059;45;41;14;4;0;0;0;0;80;169;20;196;88;496;10
2511;"UIK";"GN";2748;2500;0;1343;40;1117;40;1341;16;1365;70;61;20;9;3;0;0;0;230;169;34;434;195;296;7
2536;"UIK";"GN";2640;2300;0;1107;51;1142;51;1106;27;1130;60;39;17;21;0;0;0;0;185;186;16;259;120;354;10
2547;"UIK";"GN";1948;1600;0;991;3;606;3;990;14;979;40;35;22;5;10;0;0;0;159;201;22;272;115;201;9
2572;"UIK";"GN";1764;1400;0;747;14;639;14;747;16;745;40;39;39;1;2;0;0;0;127;126;17;210;77;180;8
2608;"UIK";"GN";1547;1300;0;1064;9;227;9;969;25;953;30;20;10;10;1;0;0;0;107;80;12;221;100;426;7
2627;"UIK";"GN";1946;1600;0;887;27;686;27;885;16;896;40;35;67;5;0;0;0;0;161;119;12;228;143;226;7
2662;"UIK";"GN";2112;1600;0;683;43;874;43;682;25;700;30;22;37;8;1;0;0;0;106;66;10;177;86;247;8
