замоcк;38;"Валовая ул., 2/4/44 (стр. 1), 6, 8/18, 10 (стр. 1), 20;Монетчиковский 2-й пер., 2/12;Монетчиковский 3-й пер., 10/1, 15, 17;Монетчиковский 4-й пер.,1/6, 9;Монетчиковский 5-й пер.,8/10, 13, 14, 16, 20;Монетчиковский 6-й пер.,15/17, 19;Ордынка Б. ул.,67;Пятницкая ул.,76";"Монетчиковский 5-й пер., 7,Школа № 1259, каб. № 112(495)953-24-47";"Монетчиковский 5-й пер., 7,Школа № 1259, фойе 1 этажа(495)953-24-47";
замоcк;39;"Вишняковский пер., 23, 23-25, 27;Монетчиковский 1-й пер., 8;Монетчиковский 5-й пер., 6;Монетчиковский 6-й пер., 5;Новокузнецкая ул., 20/21-19 (стр. 5), 30 (стр.1, 2, 3), 34;Новокузнецкий 1-й пер., 5-7, 10, 11, 13,Ордынка Б. ул.,51;Ордынка М. ул., 27/5, 27/5-3-3А, 29А, 36;Пятницкая ул., 53/18 (стр. 1, 4), 54 (стр.1), 59/19, 62 (к.7), 65";"Новокузнецкий 1-й пер., 12аШкола № 528, канцелярия(495)951-06-07";"Новокузнецкий 1-й пер., 12аШкола № 528, фойе 1 этажа(495)951-06-07";
замоcк;40;"Бахрушина ул., 1/7, 2/5, 4, 10 (к.1-3);Вишняковский пер., 4, 6;Новокузнецкая ул., 13 (стр.1);Озерковская наб.,38/40;Татарская Б. ул.,24, 26/28, 30, 32, 36/2 (к.2). 44;Татарский Б. пер.,4;Татарский М. пер.,5;Толмачевский Ст. пер.,3, 7";"Татарская Б. ул., 32Библиотека № 21, отдел периодики(495)951-06-56";"Татарская Б. ул., 32Библиотека № 21, читальный зал(495)951-06-56";
замоcк;41;"Вишняковский пер.,10(к. 1, стр. 2);Голиковский пер., 5,7 (к.1), 7А, 8, 10, 13, 15;Климентовский пер., 9;Новокузнецкая ул., 3, 4/12 (стр. 1,2), 6, 18 (стр. 1);Ордынка Б. ул., 31/12;Ордынка М. ул., 3, 5/6 (стр. 1, 2-3, 4),11, 13 (стр. 1, 1А), 18;Пятницкая ул., 28, 35 (к.1), 37, 39, 43 (к. 1, 3), 47, 48 (к. 3). 49;Татарская Б. ул., 20/2;Толмачевский Ст. пер., 17";"Пятницкая ул., 46 стр. 3Школа № 532Каб. 206(495)951-05-47";"Пятницкая ул., 46 стр. 3Школа № 532Фойе 2 этажа(495)951-05-47";
замоcк;42;"Кадашевская наб.,36 (стр. 1, 4);Климентовский пер., 2, 6;Овчинниковская наб., 8 18/1;Овчинниковский Б. пер., 10, 12, 17/1, 20, 24, 26;Ордынка Б. ул., 7 (стр. 1), 9/4 (стр. 1, 2), 11/6 (стр.1, 2), 13/9, 17 (стр.1);Пятницкая ул., 2/38 (к. 3), 5, 6, 7 (к. 2), 8, 9/28, 10, 16, 17, 18, 20;Пятницкий пер., 3";"Ордынка Б. , 15Школа № 1323Техническое помещение 1 этажа(495)951-00-93";"Ордынка Б. ул., д. 15Школа № 1323Фойе 1 этажа(495)951-00-93";
замоcк;43;"Космодамианская наб., 4/22 (к. А, Б, В);Раушский 2-й пер., 3;Садовническая наб., 11;Садовническая ул., 9 (стр. 1), 11 (стр. 10), 18, 21, 25, 27, 42 (стр. 2), 42 (к. 6), 47, 51, 53, 58/60;";"Садовническая ул., 33Московский государственный университет дизайна и технологии каб. № 208(495)951-04-75";"Садовническая ул., 33Московский государственный университет дизайна и технологии фойе 1 этажа(495)951-04-75";
замоcк;44;"Космодамианская наб., 28/30, 32/34, 36, 40/42, 46/50;Садовническая ул., 61, 64, 66, 77, 78, 82";"Садовническая ул., 68Школа № 1258Каб. № 153(495)951-06-73";"Садовническая ул., 68Школа № 1258Фойе 1 этажа";
замоcк;45;"Овчинниковская наб., 22/24;Озерковская наб., 2/1, 8/14, 16/2 (стр. 1), 26;Озерковский пер., 4, 7, 9, 10, 11;Руновский пер., 5 (стр. 2), 8, 10, 11/13 (стр. 2), 12;Татарская Б. ул., 3, 25/27 (к. 10)";"Овчинниковская наб., 22/24Филиал Центра детского творчества Москворечье помещение раздевалки для преподавателей(495)951-00-91";"Овчинниковская наб., 22/24Филиал Центра детского творчества Москворечье танцевальный зал(495)951-00-91";
замоcк;46;"Бахрушина ул., 13, 16, 17, 19 (стр. 1), 19 (к. 2), 21 (стр. 3), 28;Зацепский вал ул., 2 (стр. 2), 4, 6/13;Новокузнецкая ул., 33 (стр. 1, 2), 35/37, 43/16 (стр. 2);Озерковская наб., 44, 46, 48/50 (к. 1, 2, 3), 52А;Татарская ул., 1/7, 3, 5 (к. 1, 2), 7, 14, 18;Татарский Б. пер., 3";"Бахрушина ул., 24, стр. 1Школа №525 каб. № 8(495)951-00-73";"Бахрушина ул., 24, стр. 1Школа №525Фойе 1 этажа(495)951-00-73";
замоcк;47;"Зацепский вал ул., 5;Кожевническая ул., 1Б (стр. 1), 5, 8, 17 (стр. 1), 17/14 (стр. 2);Павелецкая пл., 1";"Дубининская ул., 25, стр.1Колледж малого бизнеса № 4 каб. Информатики(499)235-06-93";"Дубининская ул., 25, стр. 1Колледж малого бизнеса № 4Фойе 2 этажа(499)235-06-93";
замоcк;48;"Дубининская ул., 2, 6, 11 (стр. 1), 11/17 (к. 2), 19, 20;Пионерская Б. ул., 15, 33 (к. 1, 2);Пионерская М. ул., 21, 23/31;Стремянный пер., 9";"Дубининская ул., 25, стр.1Колледж малого бизнеса № 4 каб. № 10(499)235-06-10";"Дубининская ул., 25, стр. 1Колледж малого бизнеса № 4Фойе 1 этажа(499)235-06-10";
замоcк;49;"Дубининская ул., 40, 41;Пионерская Б. ул., 20, 24, 28, 37/38,40/11, 42, 46;Стремянный пер., 17/21, 21;Щипок ул., 13";"Дубининская ул., 42Школа № 627 каб. 104(499)235-05-12";"Дубининская ул., 42Школа № 627фойе 1 этажа(499)235-05-12";
замоcк;50;"Дубининская ул., 68;Серпуховская Б. ул., 19/37 (к. 2), 25 (к. 2), 31 (к. 1, 2, 3, 4, 5, 6, 9, 10, 11);Стремянный пер., 33, 35;Щипковский 1-й пер., 11/13 (к. 3), 13/15, 15, 17, 25, 28, 30;Щипковский 2-й пер., 8, 11/13";"Щипковский 1-й пер., 23Факультет среднего профессионального образования Московской государственной академии приборостроения и информатики, комн. № 22(499) 236-10-08";"Щипковский 1-й пер., 23Факультет среднего профессионального образования Московской государственной академии приборостроения и информатики 1 этажАудитория № 122(499) 236-10-08";
замоcк;51;"Валовая ул., 11/19, 21 (к. 125), 29, 31, 33;Зацепа ул., 22, 25, 32;Пионерская Б. ул., 10/12;Стремянный пер., 16/18;Строченовский Б. пер., 4, 15А";"Стремянный пер., 28, к. 2аКонгресс-Центр РЭА им. Г.В.Плеханова каб. № 1А(499) 237-93-17";"Стремянный пер., 28, к. 2аКонгресс-Центр РЭА им. Г.В.ПлехановаФойе 1 этажа(499) 237-93-17";
